,month,label,Conservative,DUP,Deputy Speaker,Independent,Independent Labour,Labour,Liberal Democrat,Plaid Cymru,Scottish National Party,Sinn Féin,Social Democratic and Labour Party,Speaker,UKUP,UUP,Independent Conservative,Independent Ulster Unionist,Respect,UKIP,Alliance,Green,Alba,Reclaim,total_seats
0,2001-01-01,Member of Parliament,160.0,3.0,3.0,2.0,1.0,417.0,47.0,4.0,6.0,2.0,3.0,1.0,1.0,9.0,,,,,,,,,659.0
0,2001-02-01,Member of Parliament,160.0,3.0,3.0,2.0,1.0,417.0,47.0,4.0,6.0,2.0,3.0,1.0,1.0,9.0,,,,,,,,,659.0
0,2001-03-01,Member of Parliament,160.0,3.0,3.0,2.0,1.0,417.0,47.0,4.0,6.0,2.0,3.0,1.0,1.0,9.0,,,,,,,,,659.0
0,2001-04-01,Member of Parliament,160.0,3.0,3.0,2.0,1.0,417.0,47.0,4.0,6.0,2.0,3.0,1.0,1.0,9.0,,,,,,,,,659.0
0,2001-05-01,Member of Parliament,159.0,3.0,3.0,3.0,1.0,417.0,47.0,4.0,6.0,2.0,3.0,1.0,1.0,9.0,,,,,,,,,659.0
0,2001-07-01,Member of Parliament,164.0,5.0,3.0,1.0,,411.0,52.0,4.0,5.0,4.0,3.0,1.0,,6.0,,,,,,,,,659.0
0,2001-08-01,Member of Parliament,164.0,5.0,3.0,1.0,,411.0,52.0,4.0,5.0,4.0,3.0,1.0,,6.0,,,,,,,,,659.0
0,2001-09-01,Member of Parliament,164.0,5.0,3.0,1.0,,411.0,52.0,4.0,5.0,4.0,3.0,1.0,,6.0,,,,,,,,,659.0
0,2001-10-01,Member of Parliament,164.0,5.0,3.0,1.0,,411.0,52.0,4.0,5.0,4.0,3.0,1.0,,6.0,,,,,,,,,659.0
0,2001-11-01,Member of Parliament,164.0,5.0,3.0,1.0,,410.0,52.0,4.0,5.0,4.0,3.0,1.0,,6.0,,,,,,,,,658.0
0,2001-12-01,Member of Parliament,164.0,5.0,3.0,1.0,,411.0,52.0,4.0,5.0,4.0,3.0,1.0,,6.0,,,,,,,,,659.0
0,2002-01-01,Member of Parliament,164.0,5.0,3.0,1.0,,409.0,53.0,4.0,5.0,4.0,3.0,1.0,,6.0,,,,,,,,,658.0
0,2002-02-01,Member of Parliament,164.0,5.0,3.0,1.0,,409.0,53.0,4.0,5.0,4.0,3.0,1.0,,6.0,,,,,,,,,658.0
0,2002-03-01,Member of Parliament,164.0,5.0,3.0,1.0,,410.0,53.0,4.0,5.0,4.0,3.0,1.0,,6.0,,,,,,,,,659.0
0,2002-04-01,Member of Parliament,164.0,5.0,3.0,1.0,,410.0,53.0,4.0,5.0,4.0,3.0,1.0,,6.0,,,,,,,,,659.0
0,2002-05-01,Member of Parliament,164.0,5.0,3.0,1.0,,410.0,53.0,4.0,5.0,4.0,3.0,1.0,,6.0,,,,,,,,,659.0
0,2002-06-01,Member of Parliament,164.0,5.0,3.0,1.0,,410.0,53.0,4.0,5.0,4.0,3.0,1.0,,6.0,,,,,,,,,659.0
0,2002-07-01,Member of Parliament,164.0,5.0,3.0,1.0,,410.0,53.0,4.0,5.0,4.0,3.0,1.0,,6.0,,,,,,,,,659.0
0,2002-08-01,Member of Parliament,164.0,5.0,3.0,1.0,,410.0,53.0,4.0,5.0,4.0,3.0,1.0,,6.0,,,,,,,,,659.0
0,2002-09-01,Member of Parliament,164.0,5.0,3.0,1.0,,410.0,53.0,4.0,5.0,4.0,3.0,1.0,,6.0,,,,,,,,,659.0
0,2002-10-01,Member of Parliament,164.0,5.0,3.0,1.0,,410.0,53.0,4.0,5.0,4.0,3.0,1.0,,6.0,,,,,,,,,659.0
0,2002-11-01,Member of Parliament,163.0,5.0,3.0,1.0,,410.0,53.0,4.0,5.0,4.0,3.0,1.0,,6.0,1.0,,,,,,,,659.0
0,2002-12-01,Member of Parliament,163.0,5.0,3.0,1.0,,410.0,53.0,4.0,5.0,4.0,3.0,1.0,,6.0,1.0,,,,,,,,659.0
0,2003-01-01,Member of Parliament,163.0,5.0,3.0,1.0,,410.0,53.0,4.0,5.0,4.0,3.0,1.0,,6.0,1.0,,,,,,,,659.0
0,2003-02-01,Member of Parliament,163.0,5.0,3.0,1.0,,410.0,53.0,4.0,5.0,4.0,3.0,1.0,,6.0,1.0,,,,,,,,659.0
0,2003-03-01,Member of Parliament,163.0,5.0,3.0,1.0,,410.0,53.0,4.0,5.0,4.0,3.0,1.0,,6.0,1.0,,,,,,,,659.0
0,2003-04-01,Member of Parliament,163.0,5.0,3.0,1.0,,410.0,53.0,4.0,5.0,4.0,3.0,1.0,,6.0,1.0,,,,,,,,659.0
0,2003-05-01,Member of Parliament,163.0,5.0,3.0,1.0,,410.0,53.0,4.0,5.0,4.0,3.0,1.0,,6.0,1.0,,,,,,,,659.0
0,2003-06-01,Member of Parliament,163.0,5.0,3.0,1.0,,410.0,53.0,4.0,5.0,4.0,3.0,1.0,,6.0,1.0,,,,,,,,659.0
0,2003-07-01,Member of Parliament,163.0,5.0,3.0,1.0,,409.0,53.0,4.0,5.0,4.0,3.0,1.0,,3.0,1.0,3.0,,,,,,,658.0
0,2003-08-01,Member of Parliament,163.0,5.0,3.0,1.0,,409.0,53.0,4.0,5.0,4.0,3.0,1.0,,3.0,1.0,3.0,,,,,,,658.0
0,2003-09-01,Member of Parliament,163.0,5.0,3.0,1.0,,409.0,53.0,4.0,5.0,4.0,3.0,1.0,,3.0,1.0,3.0,,,,,,,658.0
0,2003-10-01,Member of Parliament,163.0,5.0,3.0,1.0,,409.0,54.0,4.0,5.0,4.0,3.0,1.0,,3.0,1.0,3.0,,,,,,,659.0
0,2003-11-01,Member of Parliament,163.0,5.0,3.0,2.0,,408.0,54.0,4.0,5.0,4.0,3.0,1.0,,3.0,1.0,3.0,,,,,,,659.0
0,2003-12-01,Member of Parliament,163.0,5.0,3.0,2.0,,408.0,54.0,4.0,5.0,4.0,3.0,1.0,,3.0,1.0,3.0,,,,,,,659.0
0,2004-01-01,Member of Parliament,163.0,5.0,3.0,2.0,,408.0,54.0,4.0,5.0,4.0,3.0,1.0,,3.0,1.0,3.0,,,,,,,659.0
0,2004-02-01,Member of Parliament,163.0,6.0,3.0,2.0,,408.0,54.0,4.0,5.0,4.0,3.0,1.0,,5.0,1.0,,,,,,,,659.0
0,2004-03-01,Member of Parliament,162.0,6.0,3.0,2.0,,408.0,54.0,4.0,5.0,4.0,3.0,1.0,,5.0,2.0,,,,,,,,659.0
0,2004-04-01,Member of Parliament,163.0,6.0,3.0,2.0,,408.0,54.0,4.0,5.0,4.0,3.0,1.0,,5.0,1.0,,,,,,,,659.0
0,2004-05-01,Member of Parliament,163.0,6.0,3.0,2.0,,408.0,54.0,4.0,5.0,4.0,3.0,1.0,,5.0,1.0,,,,,,,,659.0
0,2004-06-01,Member of Parliament,163.0,6.0,3.0,2.0,,407.0,54.0,4.0,5.0,4.0,3.0,1.0,,5.0,1.0,,,,,,,,658.0
