month,label,Bishop,Conservative,Crossbench,Green,Independent Labour,Independent Socialist,Judge,Labour,Liberal Democrat,Non-affiliated,Other,UUP,Conservative Independent,DUP,UKIP,Plaid Cymru,Independent Liberal Democrat,Independent Ulster Unionist,Independent Social Democrat,total_seats
2001-01-01,Peer,26.0,230.0,161.0,1.0,1.0,1.0,5.0,199.0,62.0,2.0,3.0,1.0,,,,,,,,692.0
2001-02-01,Peer,25.0,229.0,162.0,1.0,1.0,1.0,5.0,198.0,62.0,2.0,3.0,1.0,,,,,,,,690.0
2001-03-01,Peer,25.0,226.0,160.0,1.0,1.0,1.0,5.0,197.0,62.0,2.0,3.0,1.0,,,,,,,,684.0
2001-04-01,Peer,26.0,224.0,160.0,1.0,1.0,1.0,5.0,196.0,62.0,3.0,3.0,1.0,,,,,,,,683.0
2001-05-01,Peer,26.0,224.0,159.0,1.0,1.0,1.0,5.0,194.0,61.0,3.0,3.0,1.0,,,,,,,,679.0
2001-06-01,Peer,26.0,224.0,159.0,1.0,1.0,1.0,5.0,193.0,61.0,3.0,3.0,1.0,,,,,,,,678.0
2001-07-01,Peer,26.0,224.0,162.0,1.0,1.0,1.0,5.0,196.0,61.0,3.0,4.0,1.0,,,,,,,,685.0
2001-08-01,Peer,26.0,226.0,173.0,1.0,1.0,1.0,5.0,202.0,62.0,3.0,3.0,1.0,,,,,,,,704.0
2001-09-01,Peer,26.0,226.0,173.0,1.0,1.0,1.0,5.0,200.0,62.0,3.0,3.0,1.0,,,,,,,,702.0
2001-10-01,Peer,26.0,226.0,172.0,1.0,1.0,1.0,5.0,198.0,62.0,3.0,3.0,1.0,,,,,,,,699.0
2001-11-01,Peer,26.0,230.0,176.0,1.0,1.0,1.0,5.0,200.0,66.0,2.0,3.0,2.0,,,,,,,,713.0
2001-12-01,Peer,27.0,230.0,176.0,1.0,1.0,1.0,5.0,200.0,66.0,2.0,3.0,2.0,,,,,,,,714.0
2002-01-01,Peer,26.0,229.0,175.0,1.0,1.0,1.0,5.0,200.0,66.0,2.0,3.0,2.0,,,,,,,,711.0
2002-02-01,Peer,27.0,229.0,175.0,1.0,1.0,1.0,5.0,199.0,66.0,2.0,3.0,2.0,,,,,,,,711.0
2002-03-01,Peer,27.0,228.0,175.0,1.0,1.0,1.0,5.0,199.0,66.0,2.0,2.0,2.0,,,,,,,,709.0
2002-04-01,Peer,27.0,228.0,176.0,1.0,1.0,1.0,5.0,197.0,66.0,2.0,3.0,2.0,,,,,,,,709.0
2002-05-01,Peer,27.0,227.0,176.0,1.0,1.0,1.0,5.0,197.0,66.0,2.0,3.0,2.0,,,,,,,,708.0
2002-06-01,Peer,26.0,225.0,176.0,1.0,1.0,1.0,5.0,196.0,66.0,2.0,3.0,2.0,,,,,,,,704.0
2002-07-01,Peer,26.0,224.0,175.0,1.0,1.0,1.0,5.0,196.0,66.0,2.0,3.0,2.0,,,,,,,,702.0
2002-08-01,Peer,25.0,224.0,172.0,1.0,1.0,1.0,5.0,196.0,66.0,2.0,4.0,2.0,,,,,,,,699.0
2002-09-01,Peer,25.0,223.0,171.0,1.0,1.0,1.0,5.0,196.0,66.0,2.0,4.0,2.0,,,,,,,,697.0
2002-10-01,Peer,24.0,222.0,171.0,1.0,1.0,1.0,5.0,196.0,66.0,2.0,4.0,2.0,,,,,,,,695.0
2002-11-01,Peer,23.0,222.0,171.0,1.0,1.0,1.0,6.0,195.0,66.0,2.0,4.0,1.0,,,,,,,,693.0
2002-12-01,Peer,24.0,220.0,171.0,1.0,1.0,1.0,6.0,194.0,66.0,3.0,4.0,1.0,,,,,,,,692.0
2003-01-01,Peer,24.0,220.0,171.0,1.0,1.0,1.0,6.0,194.0,66.0,3.0,4.0,1.0,,,,,,,,692.0
2003-02-01,Peer,24.0,217.0,172.0,1.0,1.0,1.0,6.0,194.0,65.0,3.0,4.0,1.0,,,,,,,,689.0
