month,Bishop,Conservative,Crossbench,DUP,Deputy Speaker,Green,Independent,Independent Labour,Independent Socialist,Judge,Labour,Liberal Democrat,Non-affiliated,Other,Plaid Cymru,Scottish National Party,Sinn Féin,Social Democratic and Labour Party,Speaker,UKUP,UUP,Independent Conservative,Independent Ulster Unionist,Conservative Independent,Respect,UKIP,Alliance,Independent Liberal Democrat,Independent Social Democrat,Alba,Reclaim,total_seats
2001-01-01,26,390,161,3.0,3.0,1.0,2.0,2,1.0,5,616,109,2,3.0,4.0,6.0,2.0,3.0,1.0,1.0,10,,,,,,,,,,,1351.0
2001-02-01,25,389,162,3.0,3.0,1.0,2.0,2,1.0,5,615,109,2,3.0,4.0,6.0,2.0,3.0,1.0,1.0,10,,,,,,,,,,,1349.0
2001-03-01,25,386,160,3.0,3.0,1.0,2.0,2,1.0,5,614,109,2,3.0,4.0,6.0,2.0,3.0,1.0,1.0,10,,,,,,,,,,,1343.0
2001-04-01,26,384,160,3.0,3.0,1.0,2.0,2,1.0,5,613,109,3,3.0,4.0,6.0,2.0,3.0,1.0,1.0,10,,,,,,,,,,,1342.0
2001-05-01,26,383,159,3.0,3.0,1.0,3.0,2,1.0,5,611,108,3,3.0,4.0,6.0,2.0,3.0,1.0,1.0,10,,,,,,,,,,,1338.0
2001-06-01,26,224,159,,,1.0,,1,1.0,5,193,61,3,3.0,,,,,,,1,,,,,,,,,,,678.0
2001-07-01,26,388,162,5.0,3.0,1.0,1.0,1,1.0,5,607,113,3,4.0,4.0,5.0,4.0,3.0,1.0,,7,,,,,,,,,,,1344.0
2001-08-01,26,390,173,5.0,3.0,1.0,1.0,1,1.0,5,613,114,3,3.0,4.0,5.0,4.0,3.0,1.0,,7,,,,,,,,,,,1363.0
2001-09-01,26,390,173,5.0,3.0,1.0,1.0,1,1.0,5,611,114,3,3.0,4.0,5.0,4.0,3.0,1.0,,7,,,,,,,,,,,1361.0
2001-10-01,26,390,172,5.0,3.0,1.0,1.0,1,1.0,5,609,114,3,3.0,4.0,5.0,4.0,3.0,1.0,,7,,,,,,,,,,,1358.0
2001-11-01,26,394,176,5.0,3.0,1.0,1.0,1,1.0,5,610,118,2,3.0,4.0,5.0,4.0,3.0,1.0,,8,,,,,,,,,,,1371.0
2001-12-01,27,394,176,5.0,3.0,1.0,1.0,1,1.0,5,611,118,2,3.0,4.0,5.0,4.0,3.0,1.0,,8,,,,,,,,,,,1373.0
2002-01-01,26,393,175,5.0,3.0,1.0,1.0,1,1.0,5,609,119,2,3.0,4.0,5.0,4.0,3.0,1.0,,8,,,,,,,,,,,1369.0
2002-02-01,27,393,175,5.0,3.0,1.0,1.0,1,1.0,5,608,119,2,3.0,4.0,5.0,4.0,3.0,1.0,,8,,,,,,,,,,,1369.0
2002-03-01,27,392,175,5.0,3.0,1.0,1.0,1,1.0,5,609,119,2,2.0,4.0,5.0,4.0,3.0,1.0,,8,,,,,,,,,,,1368.0
2002-04-01,27,392,176,5.0,3.0,1.0,1.0,1,1.0,5,607,119,2,3.0,4.0,5.0,4.0,3.0,1.0,,8,,,,,,,,,,,1368.0
2002-05-01,27,391,176,5.0,3.0,1.0,1.0,1,1.0,5,607,119,2,3.0,4.0,5.0,4.0,3.0,1.0,,8,,,,,,,,,,,1367.0
2002-06-01,26,389,176,5.0,3.0,1.0,1.0,1,1.0,5,606,119,2,3.0,4.0,5.0,4.0,3.0,1.0,,8,,,,,,,,,,,1363.0
2002-07-01,26,388,175,5.0,3.0,1.0,1.0,1,1.0,5,606,119,2,3.0,4.0,5.0,4.0,3.0,1.0,,8,,,,,,,,,,,1361.0
2002-08-01,25,388,172,5.0,3.0,1.0,1.0,1,1.0,5,606,119,2,4.0,4.0,5.0,4.0,3.0,1.0,,8,,,,,,,,,,,1358.0
2002-09-01,25,387,171,5.0,3.0,1.0,1.0,1,1.0,5,606,119,2,4.0,4.0,5.0,4.0,3.0,1.0,,8,,,,,,,,,,,1356.0
2002-10-01,24,386,171,5.0,3.0,1.0,1.0,1,1.0,5,606,119,2,4.0,4.0,5.0,4.0,3.0,1.0,,8,,,,,,,,,,,1354.0
2002-11-01,23,385,171,5.0,3.0,1.0,1.0,1,1.0,6,605,119,2,4.0,4.0,5.0,4.0,3.0,1.0,,7,1.0,,,,,,,,,,1352.0
2002-12-01,24,383,171,5.0,3.0,1.0,1.0,1,1.0,6,604,119,3,4.0,4.0,5.0,4.0,3.0,1.0,,7,1.0,,,,,,,,,,1351.0
2003-01-01,24,383,171,5.0,3.0,1.0,1.0,1,1.0,6,604,119,3,4.0,4.0,5.0,4.0,3.0,1.0,,7,1.0,,,,,,,,,,1351.0
2003-02-01,24,380,172,5.0,3.0,1.0,1.0,1,1.0,6,604,118,3,4.0,4.0,5.0,4.0,3.0,1.0,,7,1.0,,,,,,,,,,1348.0
2003-03-01,24,380,171,5.0,3.0,1.0,1.0,1,1.0,6,604,118,3,5.0,4.0,5.0,4.0,3.0,1.0,,7,1.0,,,,,,,,,,1348.0
2003-04-01,26,380,172,5.0,3.0,1.0,1.0,1,1.0,6,604,118,3,4.0,4.0,5.0,4.0,3.0,1.0,,7,1.0,,,,,,,,,,1350.0
2003-05-01,25,380,172,5.0,3.0,1.0,1.0,1,1.0,6,603,118,3,4.0,4.0,5.0,4.0,3.0,1.0,,7,1.0,,,,,,,,,,1348.0
2003-06-01,24,379,172,5.0,3.0,1.0,1.0,1,1.0,6,603,118,3,3.0,4.0,5.0,4.0,3.0,1.0,,7,1.0,,,,,,,,,,1345.0
